100-YOKAI／空想と妄想とキミの恋した世界／PATI PATI CANDY...☆	@100yokai	2997	本人（グループ公式。空想と妄想とキミの恋した世界@info_kmkks 2,689）
CITY／ライス／ヘンダーソン	@hendernakamura	51600	本人（ヘンダーソン中村フー個人。ライス関町@sekimachin 34.1K）
DRUMGODS			なし（@drumgodsは5フォロワーで無関係）
EMPATHY／LEIWAN／AIBECK	@LEIWAN01	10000	本人（LEIWAN公式。EMPATHY@EMPATHY_jp 5,396）
FCティアモ枚方対横河武蔵野FC JFLリーグ戦	@fc_tiamo	10900	本人（FCティアモ枚方クラブ公式。横河武蔵野@ymfc1939 6,365）
GAG	@shuntarofukui	34000	本人（GAG福井個人）
GAG／さらば青春の光・森田哲矢（芸人）	@saraba_morita	640900	本人（さらば青春の光 森田）
GAG／両國龍英（吉本興業マネージャー）	@shuntarofukui	34000	本人（GAG福井個人。両國龍英は見つからず）
GAG／円井わん（俳優）	@shuntarofukui	34000	本人（GAG福井個人。円井わん@wanmarui 15.1K）
GAG／男性ブランコ（芸人）	@hirai_swing	112000	本人（男性ブランコ平井。浦井@bosobosourai 104.5K）
GAG／石黒麻衣（「劇団普通」主宰）	@shuntarofukui	34000	本人（GAG福井個人。石黒麻衣@futsunoishiguro 1,609）
HUE with 「心の瞳合唱団」			なし
I-CONNECTION♯13 ～5th Anniversary そして、僕らは。～	@Iba_convertible	1319	本人（I-con.茨城ご当地メンズアイドル公式・2021/11/13デビューで5周年と一致）
LAY ABOUT WORLD	@LAY_ABOUT_WORLD	1036	本人（バンド公式）
MEME			なし
MY NAME IS HEAVY METAL～最終章～	@tetsukanmuri	13000	本人（THE冠 冠徹弥。バンド公式@THEKANMURIMETAL 5,740）
NDRエルプフィルハーモニー管弦楽団／アラン・ギルバート（指揮）／角野隼斗（p）	@880hz	199000	本人（角野隼斗）
ONE ASIA WORLD メダリストセレブレーション	@oaw_ai_ngo2026	1012	主催（アジア大会セレブレーション公式）
SHINJUKU LOFT 50th ANNIVERSARY	@SHINJUKULOFT	21400	主催（会場公式）
SINON Christmas Concert 2026 ～Christmas Wishes～	@SINON76965552	5238	本人（SINON公式）
THEカルテットの昭和歌謡コンサート（桶川12月公演）			なし
THE冠	@tetsukanmuri	13000	本人（冠徹弥。バンド公式@THEKANMURIMETAL 5,740）
Thank you very マッチ de SHOW	@KONDO__Official	12000	スタッフ垢（近藤真彦オフィシャル）
Yunomi／YUC'e／KOTONOHOUSE	@iamyunomi	81000	本人（Yunomi）
「Christmas with ROLLY! 2026」	@RollyBocchan	71000	本人（ROLLY）
「連撃」	@babykingdom_mtp	11000	本人（出演のBabyKingdom公式。HERO@hero_izm 8,382）
『のだめカンタービレ』Story Live Orchestra	@nodame_slo	326	主催（公演公式）
【動画配信】第26回東日本学校吹奏楽大会	@AJBAofficial	17400	主催（全日本吹奏楽連盟）
お～い！久馬 (ザ・プラン9)／浅越ゴエ (ザ・プラン9)／爆ノ介 (ザ・プラン9)	@asagoegoe	49000	本人（浅越ゴエ。久馬@conte_tokyo 1万）
ぎょうぶ／バッテリィズ	@KentoMaruko	101000	本人（バッテリィズ エース。寺家@jiketsu87 5.8万）
つきみるく Band Set Birthday One-Man Live 『SILVER LINING』	@tsukimiruk	2055	本人
めろん畑a go go	@MELONBATAKEAGO2	5112	本人（グループ公式）
アストル・ピアソラ×三島由紀夫	@thesymphonyhall	6231	主催（会場ザ・シンフォニーホール公式）
アンジュルム	@angerme_upfront	158200	本人（グループ公式）
ギャロップ 林／金属バット 小林	@kinzokubatKB	158100	本人（金属バット小林。ギャロップ林@gallopage 30.6K）
ケイト・リウ ピアノ・リサイタル			なし（@xthepianistは6フォロワーの休眠垢）
コロコロチキチキペッパーズ／紅しょうが 稲田／エルフ	@hzkzkzh	149200	本人（エルフ荒川。ナダル@korochiki_nadal 124.3K／稲田@inadamiki 85.5K）
ザ・シンフォニー特選コンサート Vol.35 小林研一郎 炎のタクト!	@thesymphonyhall	6231	主催（会場。小林研一郎の公式Xは見つからず）
ザ・プラン9／西川忠志／金原早苗	@asagoegoe	49000	本人（ザ・プラン9浅越ゴエ）
ジャパン・ヴィルトゥオーゾ・シンフォニー・オーケストラ	@thesymphonyhall	6231	主催（会場。楽団の公式Xは見つからず）
ジャルジャル／囲碁将棋／ネルソンズ	@jarujaru12th	204400	スタッフ垢（ジャルジャル公式。囲碁将棋文田@ff190mm 51.3K／ネルソンズ和田@wada0920kkk 25.5K）
セカイシティ	@sekaicity	1411	本人（グループ公式）
ニューイヤー・ミュージカル・コンサート 2027	@orb_nymc	4899	主催（公演公式）
ハムレット、冬の旅 HAMLET’SWINTER			なし（出演の東出昌大ほか公式X見つからず）
ハロウィンワンマン	@0153_you	66000	本人（0.1gの誤算 緑川裕宇。バンド公式@0153_official 4.4万）
バリカタ友情飯　松下遼太郎	@matsutaro0922	10000	本人
フォークシンカーズDX／EG／菅原龍平	@sugawararyuhei	3139	本人（菅原龍平。表示名は釜石龍平菅原）
プラトリウム	@TAMA_CASCADE	8948	本人（出演CASCADEのTAMA。バンド公式@CASCADE_news 5,098）
プロレスリングBASARA	@basarapw	5808	本人（団体公式）
ボブのコーラ 本田たかお／ボブのコーラ とあ／九条ジョー	@ziiya555	27800	本人（九条ジョー・鍵垢。本田@bobnocola_honda 3,071）
マエストロ小澤のレガシーを未来へとつなぐコンサート	@OzMusic_Academy	5068	主催（関連団体・小澤征爾音楽塾）
ミュージカル『ラ・カージュ・オ・フォール』	@lacageJP	1458	主催（作品公式）
ヴァンラーレ八戸対アルビレックス新潟 明治安田J2リーグ	@albirex_pr	151300	本人（対戦相手アルビレックス新潟クラブ公式。八戸@vanraure 21.9K）
ヴァンラーレ八戸対藤枝MYFC 明治安田J2リーグ	@fujiedamyfc_pr	34000	本人（対戦相手藤枝MYFCクラブ公式。八戸@vanraure 21.9K）
世良公則 KNOCK KNOCK 2026 with 渡辺美里&NAOTO	@MseraOfficial	247200	本人（世良公則。渡辺美里@misato_official 19.5K）
九条ジョー／アイラブ地球 コウノ・オブ・ザ・イヤー	@konooftheyear	34800	本人（コウノ・オブ・ザ・イヤー。九条@ziiya555 27.8K）
人形劇団ひとみ座公演「シュレミールと小さな潜水艦」	@hitomiza	3717	本人（劇団公式）
人間椅子	@ningenisu_staff	33200	本人（人間椅子Official）
出演者は決まり次第発表致します。			なし（出演者未定）
反田恭平&ザルツブルク・モーツァルテウム管弦楽団 日本ツアー2027	@kyohei0901	95200	本人（反田恭平）
反田恭平&ザルツブルク・モーツァルテウム管弦楽団 日本ツアー2027 福岡公演	@kyohei0901	95200	本人（反田恭平）
吉田たち／ザ・プラン9 爆ノ介／真輝志	@tachianija	27900	本人（吉田たち ゆうへい）
吉野おいなり君（めぞん）／King Boy（アケガラス）／青空（からし蓮根）	@mezonmezonme	86000	本人（吉野おいなり君。青空@BouzuRock 4万）
国府弘子 アコースティックトリオ with 小野リサ	@hirokokokubu	6470	本人（国府弘子。小野リサは公式X確認できず）
国府弘子アコースティックトリオwith小野リサ	@hirokokokubu	6470	本人（国府弘子）
外村理紗（vl）	@risahoka_violin	1837	本人
天満天神繁昌亭	@kamigatarakugok	14700	主催（上方落語協会・天満天神繁昌亭）
好井まさお	@yoshiimasao0427	34000	本人
小曽根真 クリスマス・ジャズナイト2026	@OzoneMakoto	14600	本人
小曽根真 クリスマス・ジャズナイト2026 “For Someone”TRiNFiNiTY featuring アナ・マリア・ヨペック	@OzoneMakoto	14600	本人
小林愛実 ピアノ・リサイタル	@aimi_piano	43500	本人
小沼ようすけ×中川英二郎 with Special Guests:小野リサ、沖仁、林正樹	@junglejinjin	16100	本人（沖仁）
恐竜ラボ!ギガ・ミッション from DINO-A-LIVE	@dinoalive	11000	主催（DINO-A-LIVE公式）
愛媛FCレディース対ヴィアマテラス宮崎2026プレナスなでしこリーグ1部	@viamaterras2020	5476	本人（ヴィアマテラス宮崎クラブ公式。愛媛L@ehime_fcl 4,046）
新日本プロレス	@njpw1972	482400	本人（団体公式）
日乃まそら	@msrir512	10000	本人
日本凱旋記念ONEMAN	@blz_mio	7755	本人（出演BLAZEのVo澪。バンド公式@blaze_jpn 4,055）
最強！！歌マネＬＩＶＥ ｉｎ 水戸 荒牧陽子×松浦航大	@kodaibot	106000	本人（松浦航大。荒牧陽子@yoko_aramaki 24.9K）
東京スカパラダイスオーケストラ	@tokyoskaj	116600	本人（バンド公式）
東野純直 X’mas LIVE 2026 with Friends From 音GRAPH	@SumitadaAzumano	3324	本人
松井秀太郎 CONCERT HALL LIVE 2027	@MSHUTP	8901	本人
梶原岳人and中澤まさともトークショー	@gaku_kajiwara	151000	本人（梶原岳人。中澤まさとも@masatomo_ 8.4万）
森崎ウィン／木内健人／唯月ふうか ほか	@win_morisaki_	46700	本人（森崎ウィン）
池田典愛／石山千尋／板垣心和	@koyorin_nmb48	14000	本人（板垣心和。石山千尋@_chihiro48_ 10.3K）
海宝直人	@naotosea	48800	本人
清水元			なし
爆笑!!お笑いフェスin加茂			なし
石山千尋／内田愛彩／岡腰星来	@_chihiro48_	10300	本人（石山千尋。内田愛彩@_aisha_nmb48 5,301）
空前メテオ／ジョックロック／例えば炎	@RNMidnightQueen	31800	本人（ジョックロック福本。例えば炎タキノルイ@ELEGANCE919 2.3万）
第2部 江上遥 オータムソロコンサート			なし
第3回 三遊亭萬都 「三遊亭噺」の会 新春スペシャル	@3utmanto	527	本人
羽山みずき	@hayama_official	8874	本人
菅原龍平 and The GoldenGates／菅原龍平／EG	@sugawararyuhei	3139	本人（菅原龍平）
藤岡幸夫のクリスマス・ファンタジア	@sacchiy0608	16200	本人（藤岡幸夫）
野澤輸出／セルライトスパ ヒーゴー／ド桜	@nozawa1224	46000	本人（野澤輸出。ド桜村田@syukan_murata 1.8万）
野澤輸出／ド桜／ピュート	@nozawa1224	46000	本人（野澤輸出）
金子マリ presents 5th element will	@rakutenmei	5050	本人（金子マリ）
金属バット／黒帯／ツートライブ	@kinzokutomoyasu	278300	本人（金属バット友保。小林@kinzokubatKB 158.1K）
雨模様のソラリス presents「Festival in the Rain」2026	@amesola_info	3079	本人（グループ公式）
