lg=02 total=323 pages=33
parsed items: 256
already in DB: 159 | NOT in DB (new candidates): 97
written tmp/presale_02_0626.json
 NEW | 2026/7/12 | 秋の特選落語競演会２０２６ | 2026/11/15(日) | 兵庫県
 NEW | 2026/6/27 | あっちこっちカンパニ～ | 2027/3/29(月) | 東京都
 NEW | 2026/7/3 | 第十一回 あべの歌舞伎「晴の会（そらのかい）」 | 2026/7/31(金) ～ 2026/8/ | 大阪府
 NEW | 2026/7/10 | 綾小路きみまろ爆笑スーパーライブ ｉｎ 浜松 | 2026/10/18(日) | 静岡県
 NEW |  | アラジン Ｔｈｅ Ｂａｌｌｅｔ Ｓｈｏｗ | 2026/10/10(土) ・ 2026/1 | 東京都／大阪府
 NEW | 2026/7/19 | 『Yerma イェルマ』 | 2026/9/26(土) ・ 2026/10 | 東京都
 NEW | 2026/7/19 | 『Yerma イェルマ』 | 2026/9/21(月・祝) ～ 2026/ | 東京都
 NEW | 2026/7/25 | Ｙｅｒｍａ イェルマ | 2026/10/17(土) ・ 2026/1 | 兵庫県
 NEW | 2026/7/19 | 入船亭扇兆 二ツ目昇進披露落語会 | 2026/10/12(月・祝) | 静岡県
 NEW | 2026/7/25 | 歌を歌わないように食べる昨日 | 2026/9/9(水) ～ 2026/9/2 | 東京都／大阪府
 NEW | 2026/7/25 | 梅津瑞樹 夜／読 耳（ヨミミ）寄り | 2026/9/23(水・祝) ・ 2026/ | 東京都
 NEW | 2026/7/3 | 圓朝噺 | 2026/8/11(火・祝) | 東京都
 NEW | TODAY | 大阪芸術大学 舞台芸術学科 学外公演『夏町』 | 2026/8/1(土) ・ 2026/8/2 | 大阪府
 NEW | 2026/7/1 | おかげ横丁 第４１２回 ７月みそか寄席 | 2026/7/31(金) | 三重県
 NEW | 2026/7/4 | 鬼爆！！ ものまねＬＩＶＥ ｉｎ 刈谷 | 2026/9/13(日) | 愛知県
 NEW | 2026/7/19 | 尾上右近自主公演 第十回「研の會」 FINAL | 2026/10/2(金) ・ 2026/10 | 東京都
 NEW | 2026/7/19 | 尾上右近 自主公演 第十回「研の會」ＦＩＮＡＬ | 2026/9/5(土) ・ 2026/9/6 | 大阪府
 NEW | 2026/7/25 | 「母さん、ラブソングです。」 | 2026/9/4(金) ・ 2026/9/5 | 愛知県
 NEW | 2026/7/3 | 桂吉弥独演会 | 2026/10/17(土) | 大阪府
 NEW | 2026/7/10 | 桂八十八独演会 | 2026/9/27(日) | 大阪府
 NEW | 2026/7/1 | 角座金曜落語会 －＃カドきんらくご－ | 2026/8/28(金) | 大阪府
 NEW | 2026/7/11 | 空晴 | 2026/8/21(金) ～ 2026/9/ | 東京都／大阪府
 NEW | 2026/7/5 | 寛平ＧＭプロデュース公演 新喜劇出前ツアー２０２ | 2026/10/3(土) | 京都府
 NEW | 2026/7/21 | 第十一回キュウ単独公演『GET BACK！』 | 2026/9/8(火) | 愛知県
 NEW | 2026/7/14 | 喬若改メ 三代目 笑福亭三喬 襲名披露公演 | 2026/12/13(日) | 兵庫県
