lg=07 total=289 pages=29
parsed items: 271 (fetched up to page 30)
already in DB (eventCd一致): 258 | NOT in DB (new candidates): 13
  うち 8件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/_ph_07_0102.json
 NEW | 2026/10/17 | 石田組年末感謝祭2026 | 2026/12/30(水) ・ 2026/1 | 神奈川県
 NEW | 2026/9/6 | N響「第9」 | 2026/12/17(木) ～ 2026/1 | 東京都
 NEW | TODAY | 折原麻美 ヴィオールとともに響いて ＶＯＬ．１ | 2027/1/21(木) | 神奈川県
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.12 | 2027/2/19(金) | 東京都
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.11 | 2027/1/23(土) | 東京都
 NEW | 2026/9/4 | コバケンとその仲間たちオーケストラ 史上最高の第 | 2026/12/8(火) | 東京都
 NEW | 2026/9/19 | サントリーホール開館40周年記念 ウィーン・フォ | 2026/12/31(木) | 東京都
 NEW | 2026/9/1 | 第４５回 全日本小学生バンドフェスティバル【フロ | 2026/11/21(土) | 大阪府
 NEW |  | 中部フィルハーモニー交響楽団 室内楽シリーズＶｏ | 2027/3/20(土) | 愛知県
 NEW | 2026/9/18 | 東京シティ・フィルハーモニック管弦楽団 第九特別 | 2026/12/28(月) | 東京都
 NEW | 2026/9/7 | 横山幸雄×群馬交響楽団～弾き振りで挑むショパン＆ | 2027/4/4(日) | 群馬県
 NEW | 2026/10/11 | 読響名曲シリーズ | 2027/1/28(木) | 東京都
 NEW | 2026/10/11 | 読響横浜マチネーシリーズ | 2027/1/30(土) | 神奈川県
