1037	kids	engeki	ぴあ=バレエ・ダンスだが子供向け絵本→kids寄り※相談
1038	owarai		
1039	owarai		
1040	dento		文楽
1041	owarai		
1042	owarai		落語
1043	engeki		
1044	engeki		朗読劇
1045	engeki		
1046	engeki		
1047	engeki		朗読
1048	classic	engeki	バレエ※両方方式
1049	owarai		寄席
1050	owarai		寄席(末廣亭余一会)←手作業engeki誤り
1051	classic	engeki	バレエ※両方方式
1052	owarai		
1053	owarai		落語
1054	dento		薪能←手作業engeki誤り
1055	owarai		落語
1056	engeki		bundle:舞台
1057	engeki		
1058	engeki		朗読・不思議の国のアリス→kids寄り?※相談
1059	engeki		
1060	owarai		落語
1061	owarai		ほしのディスコ←手作業engeki誤り(ぴあ=寄席お笑い)
1062	engeki	seiyuu	声優朗読劇※両方方式
1063	engeki		ミュージカル・ファミリー音楽劇→kids寄り?※相談
1064	owarai		落語
1065	engeki		
1066	engeki		新感線
1067	owarai		
1068	dento		狂言
1069	engeki		演劇その他
1070	engeki		ミュージカル
1071	engeki		ミュージカル
1072	owarai		寄席
1073	owarai		柳沢慎吾←手作業engeki誤り(ぴあ=寄席お笑い)
1074	owarai		落語
1075	engeki		bundle:ミュージカル民王
1076	engeki		bundle:リーディングドラマ
1077	owarai		兵動大樹←手作業engeki誤り(ぴあ=寄席お笑い)
1078	engeki		
1079	engeki		
1080	owarai		
1081	owarai		落語
1082	engeki		bundle:舞台
1083	kids	engeki	ノンタン(ぴあ=人形劇・キャラクター)←手作業engeki誤り※kids確定寄り
1084	owarai		落語
1085	owarai		落語
1086	engeki		朗読
