lg=07 total=283 pages=29
parsed items: 261 (fetched up to page 30)
already in DB (eventCd一致): 234 | NOT in DB (new candidates): 27
  うち 15件は同名の既存エントリあり＝投入時に統合を検討（旧実装はここを丸ごと捨てていた）
written tmp/sweep_presale_0916/07_0102.json
 NEW | 2026/11/7 | 秋川雅史プロデュース ７人のテノール ガラ・コン | 2027/4/2(金) | 東京都
 NEW | 2026/10/17 | 石田組年末感謝祭2026 | 2026/12/30(水) ・ 2026/1 | 神奈川県
 NEW | 2026/9/26 | 上原彩子（ｐ） | 2027/3/22(月・祝) | 東京都
 NEW | 2026/9/26 | 牛田智大（ｐ） | 2027/3/4(木) | 神奈川県
 NEW | 2026/9/26 | 牛田智大（ｐ） | 2027/3/19(金) | 東京都
 NEW | 2026/10/3 | 映像の世紀コンサート | 2026/12/17(木) | 東京都
 NEW | 2026/9/20 | 大谷康子（ｖｌ） | 2026/12/4(金) | 静岡県
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.12 | 2027/2/19(金) | 東京都
 NEW | 2026/10/10 | 芸劇リサイタル・シリーズ 「VS」 Vol.11 | 2027/1/23(土) | 東京都
 NEW | TODAY | さくらｄｅ古楽 トラヴェルソとヴィオールの調べ  | 2027/2/17(水) | 神奈川県
 NEW | 2026/9/19 | サントリーホール開館40周年記念 ウィーン・フォ | 2026/12/31(木) | 東京都
 NEW | 2026/9/18 | サントリーホール クリスマスコンサート 2026 | 2026/12/24(木) | 東京都
 NEW | 2026/9/18 | サントリーホールのクリスマス2026 | 2026/12/25(金) | 東京都
 NEW | 2026/9/17 | ザ・キングズ・シンガーズ | 2026/12/13(日) | 大分県
 NEW | 2026/9/25 | シエナ・ウインド・オーケストラ 第60回定期演奏 | 2027/2/13(土) | 東京都
 NEW | 2026/9/26 | シャイニング・シリーズＶｏｌ．２１ 東京文化会館 | 2027/1/30(土) | 東京都
 NEW |  | 中部フィルハーモニー交響楽団 室内楽シリーズＶｏ | 2027/3/20(土) | 愛知県
 NEW | 2026/10/6 | 東京音楽大学シンフォニーオーケストラ定期演奏会 | 2026/12/4(金) | 東京都
 NEW | 2026/9/18 | 東京シティ・フィルハーモニック管弦楽団 第九特別 | 2026/12/28(月) | 東京都
 NEW | 2026/9/26 | 東京シティ・フィルPresents ジルベスター | 2026/12/31(木) | 東京都
 NEW | TODAY | 永峰高志デビュー５０周年記念デュオコンサートｗｉ | 2026/12/7(月) | 東京都
 NEW | 2026/9/19 | みえる かんじる 新しい第九 ２０２６ ～「歓び | 2026/12/13(日) | 福岡県
 NEW | 2026/10/4 | 宮田まゆみ 笙リサイタル | 2027/2/27(土) | 東京都
 NEW | 2026/9/26 | 山縣美季（ｐ） | 2027/1/10(日) | 神奈川県
 NEW | 2026/10/11 | 読響名曲シリーズ | 2027/1/28(木) | 東京都
